# Model: CvmOnlyNet (Backbone: ResNet-18), Loss: FocalLoss (gamma=2.0, weighted)
epoch,train_loss,valid_loss,cvm_accuracy,cvm_f1
1,1.8985,2.9205,0.4429,0.1088
2,1.3343,1.3888,0.0714,0.0222
3,1.6110,2.5996,0.0786,0.0604
4,1.4216,12.0473,0.1357,0.0636
5,1.4399,1.4698,0.3143,0.0819
6,1.3067,1.4341,0.0786,0.0696
7,1.3592,5.0249,0.1143,0.0656
8,1.3221,1.6950,0.2786,0.1225
9,1.2777,1.3867,0.2214,0.0958
10,1.2309,1.4316,0.1643,0.0940
11,1.2344,1.3968,0.2143,0.0943
12,1.2226,1.3670,0.2143,0.0924
13,1.2369,1.4135,0.1571,0.0969
14,1.2675,1.3665,0.0929,0.0581
15,1.2915,1.3720,0.2714,0.1248
16,1.2355,1.4210,0.0643,0.0354
17,1.2636,1.3388,0.2286,0.1275
18,1.2651,1.3577,0.2857,0.1376
19,1.2281,1.3493,0.2929,0.1455
20,1.2335,1.3998,0.2714,0.1129
21,1.2452,1.3729,0.2071,0.1132
22,1.2579,1.3588,0.1929,0.1371
23,1.2532,1.4183,0.2214,0.1206
24,1.2478,1.5045,0.2071,0.1404
25,1.2606,1.4226,0.2429,0.1614
26,1.2641,1.4161,0.2214,0.1535
27,1.2299,1.4163,0.1929,0.1088
28,1.2204,1.3546,0.2643,0.1470
29,1.2259,1.3801,0.2286,0.1274
30,1.2278,1.4387,0.1857,0.1352
31,1.2394,1.5038,0.1786,0.0981
32,1.2399,1.3776,0.2429,0.1727
33,1.2435,1.3859,0.2429,0.1611
34,1.2287,1.3885,0.2071,0.1181
35,1.2346,1.4173,0.2071,0.1473
36,1.2348,1.4207,0.1929,0.1360
37,1.2367,1.3971,0.2143,0.1211
38,1.2394,1.3798,0.2357,0.1310
39,1.2353,1.4053,0.2143,0.1596
40,1.2153,1.3953,0.2214,0.1629
41,1.2405,1.3819,0.2429,0.1372
42,1.2299,1.3919,0.2071,0.1438
43,1.2198,1.3626,0.2714,0.1712
44,1.2366,1.3637,0.2500,0.1503
45,1.2179,1.3641,0.2714,0.1692
46,1.2373,1.3528,0.2643,0.1306
47,1.2426,1.3725,0.2214,0.1197
