# Model: HeatmapModel (Backbone: ResNet-50), Loss: MSELoss, Fine-tuned
epoch,train_loss,valid_mre,learning_rate
1,0.002911,38.2866,0.0001
2,0.002776,36.4613,0.0001
3,0.002638,30.0106,0.0001
4,0.002515,23.1121,0.0001
5,0.002433,18.6335,0.0001
6,0.002337,16.9336,0.0001
7,0.002272,12.4503,0.0001
8,0.002208,13.1261,0.0001
9,0.002154,14.0529,0.0001
10,0.002107,11.1233,0.0001
11,0.002067,10.0031,0.0001
12,0.002031,9.2970,0.0001
13,0.002007,9.6540,0.0001
14,0.001962,9.4744,0.0001
15,0.001940,8.7699,0.0001
16,0.001919,8.4240,0.0001
17,0.001866,8.5670,0.0001
18,0.001860,8.6723,0.0001
19,0.001839,8.5064,0.0001
20,0.001834,8.2806,0.0001
21,0.001714,7.7601,1e-05
22,0.001591,7.3373,1e-05
23,0.001543,7.4158,1e-05
24,0.001489,7.3893,1e-05
25,0.001452,7.1851,1e-05
26,0.001409,7.0555,1e-05
27,0.001367,7.0033,1e-05
28,0.001321,6.8451,1e-05
29,0.001302,6.7552,1e-05
30,0.001256,6.7429,1e-05
31,0.001238,6.6147,1e-05
32,0.001205,6.5598,1e-05
33,0.001183,6.4766,1e-05
34,0.001153,6.2985,1e-05
35,0.001121,6.3755,1e-05
36,0.001094,6.2964,1e-05
37,0.001065,6.2189,1e-05
38,0.001028,6.0776,1e-05
39,0.001000,6.1217,1e-05
40,0.000970,6.0329,1e-05
41,0.000953,5.9764,1e-05
