# Model: UNetHeatmapModel (512px, Transfer), Loss: MSELoss
epoch,train_loss,valid_mre,learning_rate
1,0.010829,224.9447,0.0001
2,0.001614,199.5283,0.0001
3,0.001247,153.3141,0.0001
4,0.001081,111.0579,0.0001
5,0.000984,86.1320,0.0001
6,0.000920,60.3004,0.0001
7,0.000875,40.9481,0.0001
8,0.000839,27.3882,0.0001
9,0.000808,20.7198,0.0001
10,0.000779,16.7600,0.0001
11,0.000749,15.9746,0.0001
12,0.000722,14.7104,0.0001
13,0.000696,12.8001,0.0001
14,0.000671,12.0069,0.0001
15,0.000650,10.4526,0.0001
16,0.000611,9.5739,1e-05
17,0.000564,8.3401,1e-05
18,0.000518,7.7294,1e-05
19,0.000475,7.3589,1e-05
20,0.000435,7.0802,1e-05
21,0.000398,6.9011,1e-05
22,0.000368,6.6784,1e-05
23,0.000338,6.4904,1e-05
24,0.000313,6.3667,1e-05
25,0.000293,6.3270,1e-05
26,0.000273,6.2034,1e-05
27,0.000260,6.1507,1e-05
28,0.000247,5.9713,1e-05
29,0.000235,5.9710,1e-05
30,0.000224,5.8847,1e-05
31,0.000215,5.8406,1e-05
32,0.000207,5.8154,1e-05
33,0.000200,5.7045,1e-05
34,0.000193,5.6635,1e-05
35,0.000188,5.6575,1e-05
36,0.000183,5.6001,1e-05
37,0.000179,5.5743,1e-05
38,0.000176,5.5343,1e-05
39,0.000170,5.5313,1e-05
40,0.000168,5.4732,1e-05
41,0.000163,5.4059,1e-05
42,0.000160,5.3748,1e-05
43,0.000156,5.4548,1e-05
44,0.000156,5.4396,1e-05
45,0.000153,5.4000,1e-05
46,0.000152,5.4003,1e-05
47,0.000150,5.3538,1e-05
48,0.000146,5.3186,1e-05
49,0.000144,5.3530,1e-05
50,0.000144,5.2859,1e-05
51,0.000142,5.3079,1e-05
52,0.000140,5.3176,1e-05
53,0.000138,5.3197,1e-05
54,0.000138,5.3406,1e-05
55,0.000135,5.3535,1e-05
56,0.000135,5.2513,1e-05
57,0.000131,5.1912,1e-05
58,0.000131,5.3079,1e-05
59,0.000130,5.1872,1e-05
60,0.000130,5.1895,1e-05
61,0.000128,5.2047,1e-05
62,0.000127,5.1853,1e-05
63,0.000128,5.2116,1e-05
64,0.000125,5.1997,1e-05
65,0.000123,5.2043,1e-05
66,0.000123,5.1706,1e-05
67,0.000122,5.2145,1e-05
68,0.000122,5.2033,1e-05
69,0.000121,5.1419,1e-05
70,0.000120,5.2074,1e-05
71,0.000118,5.1769,1e-05
72,0.000116,5.1431,1e-05
73,0.000117,5.1235,1e-05
74,0.000116,5.1210,1e-05
75,0.000115,5.1536,1e-05
76,0.000114,5.1558,1e-05
77,0.000114,5.1443,1e-05
78,0.000114,5.1861,1e-05
79,0.000113,5.1343,1e-05
80,0.000113,5.1666,1e-05
81,0.000111,5.0967,2.0000000000000003e-06
82,0.000110,5.0830,2.0000000000000003e-06
83,0.000109,5.0993,2.0000000000000003e-06
84,0.000109,5.0744,2.0000000000000003e-06
85,0.000108,5.0841,2.0000000000000003e-06
86,0.000107,5.0489,2.0000000000000003e-06
87,0.000109,5.0814,2.0000000000000003e-06
88,0.000107,5.0913,2.0000000000000003e-06
89,0.000109,5.0572,2.0000000000000003e-06
90,0.000107,5.0416,2.0000000000000003e-06
91,0.000107,5.0474,2.0000000000000003e-06
92,0.000108,5.0837,2.0000000000000003e-06
93,0.000108,5.0824,2.0000000000000003e-06
94,0.000108,5.0726,2.0000000000000003e-06
95,0.000108,5.0531,2.0000000000000003e-06
96,0.000109,5.0608,2.0000000000000003e-06
97,0.000105,5.0752,4.000000000000001e-07
98,0.000107,5.0725,4.000000000000001e-07
99,0.000107,5.0511,4.000000000000001e-07
100,0.000107,5.0340,4.000000000000001e-07
101,0.000106,5.0420,4.000000000000001e-07
102,0.000108,5.0560,4.000000000000001e-07
103,0.000107,5.0746,4.000000000000001e-07
104,0.000106,5.0874,4.000000000000001e-07
105,0.000105,5.0535,4.000000000000001e-07
106,0.000107,5.0649,4.000000000000001e-07
107,0.000107,5.0619,8.000000000000003e-08
108,0.000106,5.0472,8.000000000000003e-08
109,0.000106,5.0741,8.000000000000003e-08
110,0.000106,5.0557,8.000000000000003e-08
111,0.000106,5.0502,8.000000000000003e-08
112,0.000105,5.0607,8.000000000000003e-08
113,0.000105,5.0604,1.6000000000000008e-08
114,0.000106,5.0695,1.6000000000000008e-08
115,0.000105,5.0823,1.6000000000000008e-08
116,0.000106,5.0458,1.6000000000000008e-08
117,0.000107,5.0710,1.6000000000000008e-08
118,0.000106,5.0585,1.6000000000000008e-08
119,0.000105,5.0508,1.6000000000000008e-08
120,0.000105,5.0577,1.6000000000000008e-08
