# Model: UNetHeatmapModel (512px), Loss: MSELoss, Fine-tuned
epoch,train_loss,valid_mre,learning_rate
1,0.009244,232.7056,0.0001
2,0.001665,202.3782,0.0001
3,0.001279,165.5320,0.0001
4,0.001102,126.6553,0.0001
5,0.000999,91.7483,0.0001
6,0.000932,62.5040,0.0001
7,0.000882,45.8397,0.0001
8,0.000841,31.4129,0.0001
9,0.000807,21.5736,0.0001
10,0.000777,14.9222,0.0001
11,0.000750,11.3283,0.0001
12,0.000724,10.3069,0.0001
13,0.000700,9.6220,0.0001
14,0.000674,8.9925,0.0001
15,0.000656,8.6060,0.0001
16,0.000639,8.3083,0.0001
17,0.000621,8.0371,0.0001
18,0.000601,7.8731,0.0001
19,0.000591,7.7015,0.0001
20,0.000577,7.6195,0.0001
21,0.000544,7.3741,1e-05
22,0.000502,7.1777,1e-05
23,0.000464,7.0631,1e-05
24,0.000433,6.8980,1e-05
25,0.000403,6.7309,1e-05
26,0.000376,6.5834,1e-05
27,0.000352,6.4745,1e-05
28,0.000331,6.3731,1e-05
29,0.000311,6.2584,1e-05
30,0.000295,6.2206,1e-05
31,0.000279,6.1801,1e-05
32,0.000268,6.1250,1e-05
33,0.000254,5.9829,1e-05
34,0.000244,5.9759,1e-05
35,0.000234,5.9171,1e-05
36,0.000226,5.8198,1e-05
37,0.000218,5.7905,1e-05
38,0.000212,5.7120,1e-05
39,0.000206,5.7800,1e-05
40,0.000200,5.7393,1e-05
41,0.000194,5.6104,1e-05
42,0.000190,5.5771,1e-05
43,0.000185,5.6387,1e-05
44,0.000180,5.5609,1e-05
45,0.000176,5.4655,1e-05
46,0.000173,5.4028,1e-05
47,0.000170,5.4335,1e-05
48,0.000168,5.3986,1e-05
49,0.000164,5.4756,1e-05
50,0.000162,5.4050,1e-05
51,0.000161,5.3504,1e-05
52,0.000157,5.4053,1e-05
53,0.000155,5.3752,1e-05
54,0.000152,5.4353,1e-05
55,0.000152,5.3938,1e-05
56,0.000148,5.3967,1e-05
57,0.000148,5.3476,1e-05
58,0.000146,5.3406,1e-05
59,0.000144,5.2495,1e-05
60,0.000142,5.2867,1e-05
61,0.000141,5.2555,1e-05
62,0.000139,5.1866,1e-05
63,0.000138,5.1920,1e-05
64,0.000137,5.1685,1e-05
65,0.000135,5.2494,1e-05
66,0.000133,5.2179,1e-05
67,0.000133,5.2311,1e-05
68,0.000131,5.2479,1e-05
69,0.000131,5.2829,1e-05
70,0.000131,5.1614,1e-05
71,0.000129,5.1399,1e-05
72,0.000128,5.1871,1e-05
73,0.000128,5.1541,1e-05
74,0.000127,5.0968,1e-05
75,0.000124,5.1343,1e-05
76,0.000124,5.1937,1e-05
77,0.000123,5.1522,1e-05
78,0.000123,5.0502,1e-05
79,0.000121,5.2064,1e-05
80,0.000121,5.0569,1e-05
81,0.000120,5.1494,1e-05
82,0.000120,5.0964,1e-05
83,0.000119,5.1358,1e-05
84,0.000117,5.0950,1e-05
85,0.000116,5.0448,2.0000000000000003e-06
86,0.000116,5.0763,2.0000000000000003e-06
87,0.000116,5.0338,2.0000000000000003e-06
88,0.000115,5.0631,2.0000000000000003e-06
89,0.000115,5.0804,2.0000000000000003e-06
90,0.000116,5.0896,2.0000000000000003e-06
91,0.000113,5.0728,2.0000000000000003e-06
92,0.000115,5.0524,2.0000000000000003e-06
93,0.000113,5.0455,2.0000000000000003e-06
94,0.000115,5.0413,4.000000000000001e-07
95,0.000114,5.0689,4.000000000000001e-07
96,0.000113,5.0767,4.000000000000001e-07
97,0.000113,5.0725,4.000000000000001e-07
98,0.000113,5.0623,4.000000000000001e-07
99,0.000112,5.0651,4.000000000000001e-07
100,0.000113,5.0749,8.000000000000003e-08
101,0.000114,5.0765,8.000000000000003e-08
102,0.000113,5.0463,8.000000000000003e-08
103,0.000113,5.0776,8.000000000000003e-08
104,0.000113,5.0592,8.000000000000003e-08
105,0.000113,5.0608,8.000000000000003e-08
106,0.000113,5.0767,1.6000000000000008e-08
107,0.000114,5.0730,1.6000000000000008e-08
